experiment_id,mechanism,missing_pct,imputation_method,ga_state,seed,n_train,n_test,n_features,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,source_file
MAR_20_KNN_NOGA_RF_SEED2026,MAR,20,knn,NOGA,2026,239,60,12,0.8,0.7058823529411765,0.631578947368421,0.6666666666666666,0.8536585365853658,results/metrics/e1_e2_e3_multiseed.csv
MAR_20_ITERATIVE_NOGA_RF_SEED2026,MAR,20,iterative,NOGA,2026,239,60,12,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.9114249037227214,results/metrics/e1_e2_e3_multiseed.csv
MAR_30_MEAN_NOGA_RF_SEED2026,MAR,30,mean,NOGA,2026,239,60,12,0.7666666666666667,0.6923076923076923,0.4736842105263157,0.5625,0.8421052631578947,results/metrics/e1_e2_e3_multiseed.csv
MAR_30_MEDIAN_NOGA_RF_SEED2026,MAR,30,median,NOGA,2026,239,60,12,0.75,0.6428571428571429,0.4736842105263157,0.5454545454545454,0.858793324775353,results/metrics/e1_e2_e3_multiseed.csv
MAR_30_KNN_NOGA_RF_SEED2026,MAR,30,knn,NOGA,2026,239,60,12,0.7833333333333333,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.7785622593068036,results/metrics/e1_e2_e3_multiseed.csv
MAR_30_ITERATIVE_NOGA_RF_SEED2026,MAR,30,iterative,NOGA,2026,239,60,12,0.7333333333333333,0.6,0.4736842105263157,0.5294117647058824,0.821566110397946,results/metrics/e1_e2_e3_multiseed.csv
MNAR_10_MEAN_NOGA_RF_SEED2026,MNAR,10,mean,NOGA,2026,239,60,12,0.8666666666666667,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.8973042362002567,results/metrics/e1_e2_e3_multiseed.csv
MNAR_10_MEDIAN_NOGA_RF_SEED2026,MNAR,10,median,NOGA,2026,239,60,12,0.8666666666666667,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.8992297817715019,results/metrics/e1_e2_e3_multiseed.csv
MNAR_10_KNN_NOGA_RF_SEED2026,MNAR,10,knn,NOGA,2026,239,60,12,0.8666666666666667,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.9075738125802312,results/metrics/e1_e2_e3_multiseed.csv
MNAR_10_ITERATIVE_NOGA_RF_SEED2026,MNAR,10,iterative,NOGA,2026,239,60,12,0.8666666666666667,0.8666666666666667,0.6842105263157895,0.7647058823529411,0.8889602053915275,results/metrics/e1_e2_e3_multiseed.csv
